date,AAPL,MSFT,GOOGL,TSLA
2020-05-08 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-11 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-12 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-13 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-14 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-15 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-18 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-19 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-20 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-21 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-22 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-26 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-27 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-28 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-05-29 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-06-01 04:00:00+00:00,0.2258822589120778,0.01175011751847882,0.7380473779195386,0.0243202456499048
2020-06-02 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-03 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-04 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-05 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-08 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-09 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-10 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-11 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-12 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-15 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-16 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-17 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-18 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-19 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-22 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-23 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-24 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-25 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-26 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-29 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-06-30 04:00:00+00:00,0.17431710900358155,6.589181830486095e-06,0.08607768009733092,0.7395986217172571
2020-07-01 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-02 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-06 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-07 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-08 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-09 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-10 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-13 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-14 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-15 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-16 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-17 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-20 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-21 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-22 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-23 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-24 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-27 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-28 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-29 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-30 04:00:00+00:00,0.30509780084393495,0.0001651965056676835,0.005725346574756407,0.689011656075641
2020-07-31 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-03 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-04 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-05 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-06 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-07 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-10 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-11 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-12 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-13 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-14 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-17 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-18 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-19 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-20 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-21 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-24 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-25 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-26 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-27 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-28 04:00:00+00:00,0.09273410433777277,3.08205757704809e-05,0.0008821441206427953,0.9063529309658139
2020-08-31 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-01 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-02 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-03 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-04 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-08 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-09 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-10 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-11 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-14 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-15 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-16 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-17 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-18 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-21 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-22 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-23 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-24 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-25 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-28 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-29 04:00:00+00:00,0.1069263875615514,7.629249160874663e-07,9.091542525161596e-05,0.892981934088281
2020-09-30 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-01 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-02 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-05 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-06 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-07 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-08 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-09 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-12 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-13 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-14 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-15 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-16 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-19 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-20 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-21 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-22 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-23 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-26 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-27 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-28 04:00:00+00:00,0.25082877480442173,0.2576294153946074,0.25793933048491524,0.23360247931605557
2020-10-29 04:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-10-30 04:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-02 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-03 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-04 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-05 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-06 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-09 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-10 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-11 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-12 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-13 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-16 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-17 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-18 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-19 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-20 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-23 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-24 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-25 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-27 05:00:00+00:00,0.022961440006625058,0.02367132357017649,0.02370425631281548,0.929662980110383
2020-11-30 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-01 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-02 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-03 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-04 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-07 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-08 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-09 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-10 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-11 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-14 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-15 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-16 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-17 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-18 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-21 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-22 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-23 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-24 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-28 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-29 05:00:00+00:00,6.97710268092826e-05,7.191975205723382e-05,7.201982205584473e-05,0.9997862893990777
2020-12-30 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2020-12-31 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2021-01-04 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2021-01-05 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2021-01-06 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2021-01-07 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2021-01-08 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2021-01-11 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
2021-01-12 05:00:00+00:00,9.820226932324462e-05,0.00010122658622311985,0.00010136743409944002,0.9996992037103543
